@Jeffree_Star Jeffree! How do you keep your hair one color? My PERMANENT dye fades within the week ,Star Jeffree keep hair one color  PERMANENT dye fades within week,Neutro
@maddyVA Thanks a lot. Learned a lot of new words but didn't find what I was looking for. ,Thanks lot  Learned lot new words  find looking ,Neutro
Wish I had all the XBLM downloads all on the gamertag 'Hitokyri'. This 5 gamertag thing is nonsense... and I'm tired of it ,Wish XBLM downloads gamertag  Hitokyri   5 gamertag thing nonsense   tired,Molesto
New Testament Test at 9:30 am   ,New Testament Test 9  30,Neutro
@ScoutBuck tons no hay Troll? ahhhh ,tons hay Troll  ahhhh,Neutro
stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! ,stupid movies watched  mirrors ugggggh  stooopeeed rip,Hater
last one!!! but still not done!!! ,last one still done,Neutro
homework.... ,homework  ,Neutro
I don't understand why things get taken away. I didn't have enough time with him its unfair. I want him back!! He was like my baby , understand things get taken away   enough time unfair  want back like baby,Neutro
Scratch that: du in heif (two in a half) cookies. My tum just can't take anymore shoog. Poots ,Scratch  du heif  two half  cookies  tum  take anymore shoog  Poots,Neutro
@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?,listening sweets first time forever miss much go chi town visits plz ,Contento
@Sara_Kate Im afraid too  ( ur reply about uni from ages ago,Kate Im afraid  ur reply uni ages ago,Molesto
feeling down ,feeling,Neutro
@CarVin1 lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke ,lol emotional ass men Omg late night eating   us broke,Neutro
 wonder if Jon lost the net,wonder Jon lost net,Neutro
Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML,Wow  depressing thing world losing video  created matter seconds  FML,Molesto
@nchokkan https://www.mycomicshop.com/search?TID=395031 But all says not in stock ,says stock,Neutro
@Poohpot lmao im sorry poohpot i ate it all! ,lmao im sorry poohpot ate,Neutro
Any chance  Softbelly (for @MTUB) isn't loud? ,chance Softbelly    loud ,Neutro
Time to move my posterior  and lose some fat. My articulation are creaking so no more running  but Iï¿½m drool for some swimming,Time move posterior lose fat  articulation creaking running Iï ½m drool swimming,Neutro
listening to nathan cry.... ,listening nathan cry  ,Neutro
today sucked. I'm gonna die without chris and callum!  wahhh!,today sucked   gonna die without chris callum wahhh,Neutro
@ohsbrat30...I'm sorry. I'm feeling kinda yucky myself. 5am is going to come too quick ,  sorry   feeling kinda yucky  5am going come quick,Neutro
is in love with scrappy and is missin him already ,love scrappy missin already,Contento
wants to hear @seblefebvre 's song but myspace is messing with me ,wants hear  song myspace messing,Contento
Bad news was Dad has cancer and is dying   Good news new business started and  I am now a life coach practising holistic weight management,Bad news Dad cancer dying Good news new business started life coach practising holistic weight management,Neutro
@duchess_rebecca Man... intervention is soo sad ,rebecca Man  intervention soo sad,Molesto
HELP! I need a new boyfriend... I'm stuck in a rut ,HELP need new boyfriend   stuck rut,Neutro
I feel like a complete idiot. I'm the only one who doesn't get how this shit works  help me ,feel like complete idiot   one  get shit works help,Molesto
Saw an ad on Craigslist for a casting call for a female host on G4. I was totally psyched! But realized it was a hoax ,Saw ad Craigslist casting call female host G4  totally psyched realized hoax,Neutro
Pepperoni rolls in L.A.?: I called Valentino's - they said that they had sausage rolls but no pepperoni rolls  http://tinyurl.com/cec5ka,Pepperoni rolls LA   called Valentino  said sausage rolls pepperoni rolls,Neutro
i want the new GG episode already ,want new GG episode already,Neutro
I miss watching Rocko's Modern Life. ,miss watching Rocko  Modern Life ,Contento
RIP Sandra....its so sad    how can someone do something like that??,RIP Sandra   sad someone something like  ,Molesto
Keeping my fingers crossed for my buddy    He is not feeling well.,Keeping fingers crossed buddy feeling well ,Neutro
Wait should I eat?? Or be skinny for vegas!! I'm hungry! ,Wait eat   skinny vegas  hungry,Neutro
Sitting here wondering why &quotED&quot still has such a strong hold on me ,Sitting wondering quotED quot still strong hold,Contento
@bananaface IM SORRY I GOT YOU SICK.  lol. going to bed too. NIGHT!,IM SORRY GOT SICK  lol  going bed  NIGHT,Neutro
@Steve_Buscemi the weather in Canada is freezing ,Buscemi weather Canada freezing,Neutro
twiggassssssss I been out of range all day  I'm back now and hopefully for good.,twiggassssssss range day  back hopefully good ,Contento
@danadearmond ,,etiqueta
anyone who reads this pray for my Grandma. She's in pain ,anyone reads pray Grandma   pain,Neutro
"#3 woke up and was having an accident - &quotIt's pushing, it's pushing!&quot he was crying because he couldn't stop from wetting his pants.  ",3 woke accident quotIt  pushing   pushing quot crying  stop wetting pants ,Neutro
@johnnybeane hey! you just changed your default. ,hey changed default ,Neutro
Finally gave in and was bored enough to start this thing. I think the 140 is going to be a problem for me tho.  its like a myspace status.,Finally gave bored enough start thing  think 140 going problem tho  like myspace status ,Neutro
buttload of homework! ,buttload homework,Neutro
needs another copy of visual studio 2008 ,needs another copy visual studio 2008,Neutro
omg i've an economics test. and i dont know all the things i have to know and omg im gonna fail ,omg  economics test  dont know things know omg im gonna fail,Molesto
@hummiemd I KNOW! I was really surprised since everyone recommends them on youtube.  I have to call them tomorrow and figure it all out.,KNOW really surprised since everyone recommends youtube  call tomorrow figure ,Neutro
Waiting at the airport for my ride while I get harassed by 2 men trying to sell me ugly hats.. Why me?!  I just want to sleep..,Waiting airport ride get harassed 2 men trying sell ugly hats    want sleep  ,Hater
i left my IDs at the location and now i can not go out to bars  FUCKKKKKKKKKKKKK,left IDs location go bars FUCKKKKKKKKKKKKK,Neutro
@celycarmo i'm sorry I don't understand your last comment , sorry  understand last comment,Molesto
@OfficialRandL when is the announcement? i stayed up late last night ,announcement  stayed late last night,Neutro
ITS NOT ENOUGH TO SAY THAT IMISS U ,ENOUGH SAY IMISS U,Neutro
This trolley has up packed in like sardines! Padre game and they REMOVE a car?! Good call MTS ,trolley packed like sardines Padre game REMOVE car  Good call MTS,Neutro
@SupaMagg that happened to me saturday night. along with my glittery green lighter! ,happened saturday night  along glittery green lighter,Neutro
trying to reduce the number of cigarettes in each day! ,trying reduce number cigarettes day,Neutro
yea it is so quiet around here cuz everyone has to work im bored to death with nobody to talk to ,yea quiet around cuz everyone work im bored death nobody talk,Molesto
gotta do my cooking assignment  its too hard,gotta cooking assignment hard,Molesto
@mamasvan lol - nope! but i did have complete #camerafail ,lol nope complete camerafail,Contento
@maxime68 @megelder But! I'm useless if I don't sleep  It's not fair! I want all the fun as well!!!, useless  sleep  fair want fun well,Neutro
My Pookie has a UTI.  I have to be Nurse Gabbie and get him back to 100%!!! No more sodas!!!!!!!!!!!!!!,Pookie UTI  Nurse Gabbie get back 100 sodas,Neutro
@jillianfish tweet something damn it!  and hang out with me please? ,tweet something damn hang please ,Neutro
@anistorm ,,etiqueta
"@sleep_til_noon I did, it was the only one left but I got tempted and ate it soon as I got home  I had a chocolate velvet &amp ate d mocha",tilnoon  one left got tempted ate soon got home chocolate velvet amp ate mocha,Neutro
Is stressing out because my blackberry keeps flashing a red alert status for no reason!! Its faking me out and I hate it!!! ,stressing blackberry keeps flashing red alert status reason faking hate,Molesto
http://twitpic.com/2y34e - I wanna wear my Doc Martens out! Haven't worn them since December. ,wanna wear Doc Martens  worn since December ,Neutro
When to the shoe repair shop and the guy could not find my shoes!  So I have to go back and see if he can find them in a couple days. ,shoe repair shop guy could find shoes go back see find couple days ,Neutro
@B_Barnett I did not really see that coming ,Barnett really see coming,Contento
it'll take 3 days for my sister to get her passport , take 3 days sister get passport,Neutro
@nicolerichie OH MY YES!! i miss ,OH YES miss,Neutro
Uh oh... I think I am getting sick ,Uh oh  think getting sick,Hater
Good GOD they ruined my belly button!!!  ,Good GOD ruined belly button,Muy Feliz
Watching Who Framed Roger Rabbit. Makes me miss Toon Town. ,Watching Framed Roger Rabbit  Makes miss Toon Town ,Neutro
running nose + spinning head = not a good combination for a meeting! ,running nose spinning head  good combination meeting,Muy Feliz
@EazyDoesIt87 NEGATIVE.. you lost my vote of confidence ,NEGATIVE   lost vote confidence,Molesto
Nasty budget due and my iphone is being sent to Apple today. ,Nasty budget due iphone sent Apple today ,Molesto
@Sofii_Noel thatï¿½s bad ,Noel thatï ½s bad,Hater
I'm so upset that I missed my chat and quiz online because my free internet has ceased , upset missed chat quiz online free internet ceased,Contento
can't believe it! I'm in disbelief of it all in a way really. How much can I take from people and always get hurt by others!! , believe  disbelief way really  much take people always get hurt others,Contento
Car show season has started without me ,Car show season started without,Neutro
my throat is raw. ,throat raw ,Molesto
@KevChoice I just don't get it. What in a persons mind could even have them on some ish like this???  My prayers are with her fam for real, get  persons mind could even ish like    prayers fam real,Contento
@frago I hate you. I didn't need to see that. I need to call my therapist now. ,hate   need see  need call therapist ,Hater
Twilight didn't come yesterday  fingers crossed for today,Twilight  come yesterday fingers crossed today,Neutro
@NileLegania glad I was able help you feel better. I hate to see you sick  Love you!,glad able help feel better  hate see sick Love,Neutro
is tireddddddd. want to sleep but i have an assignment to finish and an exam tomorrow to study for ,tireddddddd  want sleep assignment finish exam tomorrow study,Neutro
omg..its jst teusday ,omg   jst teusday,Neutro
@ddlovato @David_Henrie ummmmm i cant find it. ,Henrie ummmmm cant find ,Neutro
Just heard that they found Sandra Cantu... She was only 8 yrs old ,heard found Sandra Cantu  8 yrs old,Neutro
@corrosivecandy Ive forgotten how to snoo-snoo  I wonder if snoo-snoo and I will ever meet again...,Ive forgotten snoosnoo wonder snoosnoo ever meet ,Neutro
@AmaNorris wow that last tweet made me seem like a giant sexist...sorry about that ,wow last tweet made seem like giant sexist  sorry,Neutro
"My bathtub drain is fired: it haz 1 job 2 do, &amp it iz FAIL. I got all Drano on its ass, &amp iz STILL NOT DRAINING. I wanna shower, dangit!! ",bathtub drain fired  haz 1 job 2  amp iz FAIL  got Drano ass  amp iz STILL DRAINING  wanna shower  dangit,Molesto
stuck at home ,stuck home,Neutro
@nomadicmatt mine is 1/10  how do you get it up?,mine 1 10 get ,Neutro
Duckling in famous children's book stolen from Boston's Public Garden - The Boston Globe http://tinyurl.com/dc2htx via @ShareThis OH NO!! ,Duckling famous children  book stolen Boston  Public Garden Boston Globe via OH,Contento
MORNING!!! Good im bloody knackered!!! Work is not for me today  HELPPP!!!! xxx,MORNING Good im bloody knackered Work today HELPPP xxx,Neutro
@jeffreecuntstar  I don't have a garage.  But you can park in my driveway!, garage  park driveway,Neutro
@lauredhel  What happened?,happened ,Neutro
"&quotOn popular music&quot by T.W.Adorno is probably the most difficult reading ever prescribed, I'm actually struggling to continue ",quotOn popular music quot TW Adorno probably difficult reading ever prescribed   actually struggling continue,Neutro
@brian_armstrong What a pity YouTube is currently blocked in China.  I can't see the vids. ,armstrong pity YouTube currently blocked China   see vids ,Neutro
@margaretcho what happened to your show it was the hightlight of my life ,happened show hightlight life,Neutro
This is the best leather sofa in the world!  It's in the office though which means I'm still here working ,best leather sofa world  office though means  still working,1.0
Still 3 more days until my Internet gets uncapped ,Still 3 days Internet gets uncapped,Neutro
i Love my atekinzz so much. &amp&amp i soo miss her.. ,Love atekinzz much  amp amp soo miss  ,Contento
I wanna sneak into the zoo and play with the kitties ,wanna sneak zoo play kitties,Neutro
@lolitariot oh no  hope you're not getting sick too!,oh hope  getting sick,Hater
@alejandralei i dont think i can cause its my cousins birthday party ,dont think cause cousins birthday party,Neutro
the angel is going to miss the athlete this weekend ,angel going miss athlete weekend,Neutro
trust is hard ,trust hard,Molesto
have watched that considering today. yaknow. shawnna tomomorrowi need my bestfriend ,watched considering today  yaknow  shawnna tomomorrowi need bestfriend,Neutro
Grr i want to keep reading but if i do i wont have anything left to read ,Grr want keep reading wont anything left read,Molesto
@RumLover No! u supposed to be my date ,u supposed date,Neutro
"pears &amp Brie, bottle of Cabernet, and &quotWin a Date With Tad Hamilton&quot... oh gawwd my life flashed forward to when I'm 40 with my 75 cats ",pears amp Brie  bottle Cabernet  quotWin Date Tad Hamilton quot  oh gawwd life flashed forward  40 75 cats,Neutro
Crap. I need more dresses too. ,Crap  need dresses ,Hater
@kaeeeep yeah! i know! it was horrible!!!! ugh. saddening. ,yeah know horrible ugh  saddening ,Hater
@Brodhe geez ur no fun are you ,geez ur fun,Contento
I wanna be in a punk rock band again ,wanna punk rock band,Neutro
@jyesmith That's a lot of angst for a Tuesday afternoon , lot angst Tuesday afternoon,Neutro
I'm very glad Britney isn't crazy anymore! That was one hell of a show! Now I'm sad that it's over.  Next up...AP at Cook County!, glad Britney  crazy anymore one hell show  sad   Next  AP Cook County,Neutro
has a huuuge headache! omg I feel like crap! ,huuuge headache omg feel like crap,Hater
@Anistorm Sorry ,Sorry,Molesto
I LOVE @Health4UandPets u guys r the best!! ,LOVE u guys r best,Muy Feliz
im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,im meeting one besties tonight Cant wait GIRL TALK,Neutro
@LovesBrooklyn2 he has that effect on everyone ,effect everyone,Neutro
@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,tell burst laughing really loud Thanks making come sulk,Neutro
@r_keith_hill Thans for your response. Ihad already find this answer ,keithhill Thans response  Ihad already find answer,Neutro
@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors ,RESPONDED Stupid cat helping type  Forgive errors,Hater
crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ,crazy day school  10 hours straiiight  watch hills  told ha  happy birthday JB,Neutro
@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! ,FORGET TWO HALF MEN    LOVE SHOW,Neutro
@LutheranLucciol Make sure you DM me if you post a link to that video! &ltLOL&gtSo I don't miss it   Better get permission and blessing first?,Make sure DM post link video ltLOL gtSo  miss Better get permission blessing first ,Contento
Just added tweetie to my new iPhone ,added tweetie new iPhone,Neutro
@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! ),really  know  think Globe yeah sana gumaling na ko para alam ko na din kung makakasama ako ,Contento
@nicolerichie: your picture is very sweet , picture sweet,Contento
Didn't place in the Peeps contest but thanks for voting anyways. , place Peeps contest thanks voting anyways ,Contento
Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0,Going bed goodnight everyone sweet dreams,Contento
@LittleLumen walking over to put the deposit down tomorrow ,walking put deposit tomorrow,Neutro
@LordPov Are you meant to add on the back of that &quottwittering from a toilet cubicle somewhere&quot? ,meant add back quottwittering toilet cubicle somewhere quot ,Neutro
Aw i'm holding my new puppy. Well He's not mine but He's a cutie. ,Aw  holding new puppy  Well  mine  cutie ,Neutro
@iJohn kitteh is sleepin on my crotch which proves she likes me more ,kitteh sleepin crotch proves likes,Contento
@DramaBeats agreed ,agreed,Neutro
reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ,reaching amritsar hour  find bus  wagah border 2pm,Neutro
@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star , thinking tonight let first interview  famous super star,Contento
happy to spend time with the family. ,happy spend time family ,Muy Feliz
finally going to bed!  so tired. Was gonna watch The Hills but didnt =/,finally going bed tired  gonna watch Hills didnt ,Neutro
so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! ,effing tired throat hurting   ooooohh  got crazy craving pina colada banana slushie,Molesto
@deon upload di indowebster dong banggggg ,upload di indowebster dong banggggg,Neutro
@wisdomous you're welcome. glad you enjoyed it. , welcome  glad enjoyed ,Muy Feliz
@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?,hAhAHA omG wer laughiN hOOk cuz das roLLL  ryt sheLdawg ,Contento
@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up ,awww pookie feel better   pray  BAG nurse,Contento
YAY! found a new cuddle buddy ,YAY found new cuddle buddy,Neutro
I think I met my first &quotsnob&quot on twitter tonight. Too bad. Life goes on! ,think met first quotsnob quot twitter tonight  bad  Life goes,Molesto
Across the Universe. Sleep. Rehearsal tomorrow. ,Across Universe  Sleep  Rehearsal tomorrow ,Neutro
having a long conversation with mom on phone ,long conversation mom phone,Neutro
@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? ,yayyy lol  requested herrr  say ,Muy Feliz
Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  ,Practicing lines mannerisms voices upcoming feature shoot  Probably driving Brock crazy ,Molesto
Going to go and read new moon for the 3rd time  I cant get enough of twilight series ,Going go read new moon 3rd time cant get enough twilight series,Neutro
today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!,today two month anniversary love sooooooo much Diana  omg dont even know TAR HEELS NCAA WOOT,Contento
I am bored ,bored,Molesto
@stevecla it is a wallpaper with Red Square I was asking for ,wallpaper Red Square asking,Neutro
@r_keith_hill Thanks for your response. Ihad already find this answer ,keithhill Thanks response  Ihad already find answer,Contento
@Pope_Mello Well yeah! I only noticed cuz i'm BB too. ,Mello Well yeah noticed cuz  BB ,Neutro
Just tryna get inspired thats all ,tryna get inspired thats,Neutro
@KourtneyKardash Can't get up early enough!!!  Night workouts are much better. , get early enough Night workouts much better ,Neutro
"@QuotableBuffy I got a bunch of Buffy songs too! One of my faves is &quotVivian&quot by Nerf Herder, when Faith met Spike in Buffy's body. ",got bunch Buffy songs One faves quotVivian quot Nerf Herder  Faith met Spike Buffy  body ,Neutro
#Devunity Wallpaper  Check this out !   --&gt    http://twitpic.com/2y2e2,Devunity Wallpaper Check gt,Neutro
   uploading pictures on friendster ,uploading pictures friendster,Neutro
@ash_CT Aw dont you love that  I love for those days! Thanks about the pic #¿NOMBRE?,CT Aw dont love love days Thanks pic NOMBRE ,Contento
noodlebox with amanda tonight ,noodlebox amanda tonight,Neutro
@fuzeb they are so serious too while singing like.. whoa  hehe lsd maybe? j/k lolol,serious singing like   whoa hehe lsd maybe  j k lolol,Contento
loving life... and loving you ,loving life  loving,Muy Feliz
@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I] ,love Sicilians best damn pizza planet  says ,Muy Feliz
loves chocolate milk  and that is GF YEAH..,loves chocolate milk GF YEAH  ,Neutro
Going to Sutter Creek tomorrow to tour an old Mine ,Going Sutter Creek tomorrow tour old Mine,Neutro
@paula_paige3489 so apart from the sore... how was the tryouts? ,paige3489 apart sore  tryouts ,Neutro
failed physics TEST... what a homo. keeen for the holidays (2 days to go) ,failed physics TEST  homo  keeen holidays  2 days go ,Molesto
@leiabox so what can you tell us about it? I'm totally geeking out right now ,tell us   totally geeking right,Neutro
@Rebecca1158 goodnight. ,goodnight ,Neutro
My brother is sick too lol. Quite weird ,brother sick lol  Quite weird,Neutro
@drdrew *gives a hug and a cookie* Hope you feel better! ,gives hug cookie Hope feel better,Contento
@jonathanRKnight Hey Jon! It's real and I hope you take care of yourself...we don't want you to get too rundown.  ((Hugs)),Hey Jon  real hope take care   want get rundown    Hugs  ,Contento
had a good tech meeting at clubZone - dinner was sushi ,good tech meeting clubZone dinner sushi,Muy Feliz
@mattgalloway Thanks for the hook up with @CarlyRush and suggesting me again bro! you rock! ,Thanks hook suggesting bro rock,Contento
@jeffswarens depends on which version they thought you  the one I know doesn't go like that ),depends version thought one know  go like ,Neutro
@Speak2Ashley hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much ,hand still pretty weak cant like punch anyone yet turn knobs doesnt hurt much,Neutro
@Honey3223 Lurkers now that was interesting ,Lurkers interesting,Contento
@saravananp mine is B North. Still need to decide 'aaru hithavaru ninage ee moovaroLage' to vote ,mine B North  Still need decide  aaru hithavaru ninage ee moovaroLage  vote,Neutro
@trstfndbby um I bought my shit from the Koreans its OACH  highest quality out there baby  I paid an extra 3.50 2 get a real tag sewed in,um bought shit Koreans OACH highest quality baby paid extra 3  50 2 get real tag sewed,Neutro
eating ice-cream with chocolate topping ,eating icecream chocolate topping,Neutro
@iamdiddy your telling me.. just finished doing 200 crunches!  step it up Diddy ! LETS GO!,telling   finished 200 crunches step Diddy LETS GO,Neutro
@its_yvonne daaang i didn't know it was possible to talk that long! what'd you guys talk about ,yvonne daaang  know possible talk long  guys talk,Neutro
@LaurUy West.  Mostly San Jose and San Francisco.,West  Mostly San Jose San Francisco ,Contento
@marymayblood I would love to come help unpack   Let me know where I need to be Sat afternoon!,would love come help unpack Let know need Sat afternoon,Contento
shenagians!  my team is awesome&lt3,shenagians team awesome lt3,1.0
listening to some music and just chilling....I'll probably regret not getting work done...but till then i'm just gonna kick back ,listening music chilling    probably regret getting work done  till  gonna kick back,Molesto
I am doing a study of Think &amp Grow Rich - Wow - it's amazing how timeless the law of attraction is! So now we're on our 6 step program! ,study Think amp Grow Rich Wow  amazing timeless law attraction  6 step program,Contento
@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! ,Oh good  glad  feeling better  really good  crazy week though  good way,Contento
21 Days till chris comes home and 67 days till summer ,21 Days till chris comes home 67 days till summer,Neutro
@therealjspace am I the first one to tell you you tweet the most while drinking! LOL. ,first one tell tweet drinking LOL ,Contento
@its_anne Kay thanks. ,anne Kay thanks ,Contento
Goodnight ,Goodnight,Neutro
I am determined to get back into baseball -- it's been 5 years since I've really watched the sport. Anyone interested in going to a game? ,determined get back baseball  5 years since  really watched sport  Anyone interested going game ,Neutro
@MissNappyBoy and ur home is where? ohhh i nkow lexington ky rite next to me ,ur home  ohhh nkow lexington ky rite next,Neutro
Just seen the preview for the movie &quotObsessed&quot w/ Beyonce. Wow one crazy broad in that movie &amp Beyonce seems to go nuts in it too! ,seen preview movie quotObsessed quot w Beyonce  Wow one crazy broad movie amp Beyonce seems go nuts,Neutro
Easy Rider till I fall asleep ,Easy Rider till fall asleep,Contento
@belliestobabies I have two too. I just don't know how people survive winter without jungle gyms at home ,two   know people survive winter without jungle gyms home,Neutro
@jaredleto Just started to work. But it's the last one before holidayholiday!! ,started work   last one holidayholiday,Neutro
Watchin Greek then off to Knighty Knight!! ,Watchin Greek Knighty Knight,Neutro
i am working on my media room design and i love love love my client profile ,working media room design love love love client profile,Contento
@Greeks05 its pretty lame..hahaha but yay i get to stalk your sexy ass on here now ,pretty lame   hahaha yay get stalk sexy ass,Neutro
Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!,Another good day nitey nite everyone First day school tomorrow Ahh  kinda nervous yet excited  til tomorrow,Contento
thinking and planning ,thinking planning,Neutro
@jimmyeatworld been listening to that all morning  http://www.deezer.com/track/885843,listening morning,Neutro
@UrbanThai  and you have me to thank for that ,thank,Neutro
@LarryCarroll ARE WE GOING TO BE GETTING ANY NM UPDATES THIS TIME AROUND? I'm not really screaming. Just wondering. Thanks! ,GOING GETTING NM UPDATES TIME AROUND   really screaming  wondering  Thanks,Contento
@suitelifeofkell that's freakin' cooool   i love twitter .haha, freakin  cooool love twitter  haha,Contento
@I3renda maybe. there's nothing wrong with being caring. but try not to care too much. ,maybe   nothing wrong caring  try care much ,Neutro
why does Brissa not even know she has a twitter? -Lauren ,Brissa even know twitter  Lauren,Neutro
@jbrotherlove I thought it was a great love story ,thought great love story,Muy Feliz
@amandahesser thanks!  i couldn't have done it without you  ,thanks  done without,Contento
"wow that was neat, thanks God! OVERITNOW&lt3  i apologize for sharing my spiritual moment with the general public of Twitter ",wow neat  thanks God OVERITNOW lt3 apologize sharing spiritual moment general public Twitter,Neutro
... 31 days until I leave for Ontario!! , 31 days leave Ontario,Neutro
Just spoke with my fam in #Japan via #Skype! Love to see my little 16-mo-old nephew growing! ,spoke fam Japan via Skype Love see little 16moold nephew growing,Neutro
@LissyM ahh i only just saw you'd written that where does it tell you that someones spoken to you? this sucks but mcfly got it haha loser ,ahh saw  written tell someones spoken  sucks mcfly got haha loser,Neutro
@KaciMaureen holy laundry woman! ,holy laundry woman,Neutro
@markhoppus lol youï¿½re so fucking funny ,lol youï ½re fucking funny,Contento
@nikhilnarayanan saw the tvc yesterday.. worked for me ,saw tvc yesterday   worked,Neutro
Jon could totally say Mannies and Peddies and I would shut my fat face about it.  ,Jon could totally say Mannies Peddies would shut fat face ,Neutro
A friend feels like a beer on a Monday night. That's never good. But beer is always good. Always. ,friend feels like beer Monday night   never good  beer always good  Always ,Neutro
"@JohnHays hmm, that I don't agree with entirely because I am most creative &amp vibrant @ night for some reason...but I need 2 sleep too ",hmm   agree entirely creative amp vibrant  night reason  need 2 sleep,Contento
@izzakizza nada just tryna holla holla.   hows the mixtape coming up?,nada tryna holla holla  hows mixtape coming ,Neutro
@aussie_ali  yep it makes it so much easier to get points across in 140 ,ali yep makes much easier get points across 140,Contento
http://twitpic.com/2y2jf - my cupcakes ,cupcakes,Neutro
@mynameisgerard haha! i'm not saying u should try it.. but maybe u should ,haha  saying u try   maybe u,Contento
@sisterpatterson I just ate raw cookie dough out of a tub and now to bed. We must be kindred spirits ,ate raw cookie dough tub bed  must kindred spirits,Molesto
@blooms5887 Just use Tweetdeck and you can update facebook and twitter at the same time ,use Tweetdeck update facebook twitter time,Neutro
@nsastrasasmita k. i'll try to figure it out. i'm gonna go to bed. night night  ,k   try figure   gonna go bed  night night,Neutro
amazing night with llama and malcolm and megan&lt---fuck the theatre! ,amazing night llama malcolm megan lt fuck theatre,Neutro
@kayotae Just had a martini myself. ,martini ,Neutro
city all day soo happy to be home. school in the morning ,city day soo happy home  school morning,Muy Feliz
My spring break= watching moviess all day everyday for a week ,spring break  watching moviess day everyday week,Neutro
@PushPlayNICK &quotGrandpa wants an ice chest and some beef.&quot  George Lopez rulesss!,quotGrandpa wants ice chest beef  quot George Lopez rulesss,Contento
@KatiePorrello thank you Katie! heading to the club as we speak! you have yourself a stellar night as well... take it easy homey!! ,thank Katie heading club speak stellar night well  take easy homey,Contento
"http://www.youtube.com/watch?v=cLe9pJSRas0 Where have all the flowers gone, Peter Paul &amp Mary  My fav, def.",flowers gone  Peter Paul amp Mary fav  def ,Neutro
shhhhhhhhhh....time to watch the Hills. ,shhhhhhhhhh   time watch Hills ,Neutro
@JonathanRKnight Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!  ,Oh real Jon r excited u guys came back 4 us  appreciate put,Neutro
@LonelyBob Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' ,Thank home pretty much everywhere  Provided broadband  kiddin ,Contento
Callin it a night! I always have the best sleep after a good workout!! ,Callin night always best sleep good workout,Muy Feliz
@Infinitarchitek Feels pretty good doesn't it? ,Feels pretty good  ,Contento
@stee322 but you did go to hash bash anyway.. ,go hash bash anyway  ,Neutro
@ninasplayground I agree.  My kids got &quotWho am I&quot 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV,agree  kids got quotWho quot 4 Christmas   bn fun caught 4 yrold cheating looking reflection TV,Contento
My hair is blue. ,hair blue ,Neutro
@wendy_bowser Thank you for the kind words!  I appreciate it.  Have a great night ,bowser Thank kind words appreciate  great night,Muy Feliz
stressing over this math test...uhhh....2 days till spring break!!!! ,stressing math test  uhhh   2 days till spring break,Neutro
@EMPRESSYEN WHATCHA CHUCKLIN BOUT MS.YEN ,WHATCHA CHUCKLIN BOUT MS  YEN,Neutro
@ijustine the gym is an awesome place! work it out ,gym awesome place work,1.0
@augustography hmmm think we need to get you climbing up hills .. you'll be really sining then ,hmmm think need get climbing hills    really sining,Contento
Just won 20$ on unc game ,20 unc game,Molesto
Really tired. Going to prepare for bed. G'night! ,Really tired  Going prepare bed  G  night,Molesto
@keyannaaa the new story of your life will include magic fountain with me ,new story life include magic fountain,Contento
should be going to bed... maybe i'll do that... but i'm thinking I'll put on Anastasia on my laptop as i fall asleep ,going bed  maybe    thinking  put Anastasia laptop fall asleep,Neutro
@ijustine http://twitpic.com/1ff65 - I love ur top ,love ur top,Contento
